"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_WHEAT","Wheat","Wheat","Pšenice","Weizen","Пшеница","Pszenica","Búza","Grano","Trigo","Blé","小麥","小麦","Trigo","小麦",
"STR_CHEFZ_WHEAT_DESC","Threshed grain. A grain mill turns it into flour.","Threshed grain. A grain mill turns it into flour.","Vymlácené zrno. V mlýnku z něj bude mouka.","Gedroschenes Korn. Eine Getreidemühle macht Mehl daraus.","Обмолоченное зерно. Мельница превратит его в муку.","Wymłócone ziarno. Młynek zmieli je na mąkę.","Kicsépelt gabona. A malom lisztté őrli.","Grano trebbiato. Un mulino lo trasforma in farina.","Grano trillado. Un molino lo convierte en harina.","Grain battu. Un moulin le transforme en farine.","脫粒後的麥粒。用磨坊可以磨成麵粉。","脱穀した麦粒。製粉機で小麦粉になる。","Grão debulhado. Um moinho o transforma em farinha.","脱粒后的麦粒。用磨坊可以磨成面粉。",
"STR_CHEFZ_ITEM_PARSLEY","Fresh Parsley","Fresh Parsley","Čerstvá petržel","Frische Petersilie","Свежая петрушка","Świeża pietruszka","Friss petrezselyem","Prezzemolo fresco","Perejil fresco","Persil frais","新鮮歐芹","生のパセリ","Salsa fresca","新鲜欧芹",
"STR_CHEFZ_ITEM_PARSLEY_DESC","A bunch of fresh parsley. A drying rack makes it keep.","A bunch of fresh parsley. A drying rack makes it keep.","Svazek čerstvé petržele. Na sušáku vydrží déle.","Ein Bund frische Petersilie. Der Trockenrahmen macht sie haltbar.","Пучок свежей петрушки. На сушилке сохранится дольше.","Pęczek świeżej pietruszki. Na suszarce dłużej się przechowa.","Egy csokor friss petrezselyem. Szárítóállványon eltartható lesz.","Un mazzo di prezzemolo fresco. Su un essiccatoio si conserva.","Un manojo de perejil fresco. En un secadero se conserva.","Un bouquet de persil frais. Un séchoir le fait se conserver.","一把新鮮歐芹。放在乾燥架上可以久放。","生パセリの束。乾燥ラックにかければ長持ちする。","Um maço de salsa fresca. Num secador ela se conserva.","一把新鲜欧芹。放在干燥架上可以久放。",
"STR_CHEFZ_ITEM_DILL","Fresh Dill","Fresh Dill","Čerstvý kopr","Frischer Dill","Свежий укроп","Świeży koper","Friss kapor","Aneto fresco","Eneldo fresco","Aneth frais","新鮮蒔蘿","生のディル","Endro fresco","新鲜莳萝",
"STR_CHEFZ_ITEM_DILL_DESC","Fresh dill. Goes with fish and potatoes.","Fresh dill. Goes with fish and potatoes.","Čerstvý kopr. Hodí se k rybám a bramborám.","Frischer Dill. Passt zu Fisch und Kartoffeln.","Свежий укроп. Подходит к рыбе и картошке.","Świeży koper. Pasuje do ryb i ziemniaków.","Friss kapor. Halhoz és burgonyához illik.","Aneto fresco. Sta bene con pesce e patate.","Eneldo fresco. Va bien con pescado y patatas.","De l'aneth frais. Se marie au poisson et aux pommes de terre.","新鮮蒔蘿。搭配魚和馬鈴薯。","生のディル。魚やジャガイモに合う。","Endro fresco. Combina com peixe e batatas.","新鲜莳萝。搭配鱼和土豆。",
"STR_CHEFZ_ITEM_THYME","Fresh Thyme","Fresh Thyme","Čerstvý tymián","Frischer Thymian","Свежий тимьян","Świeży tymianek","Friss kakukkfű","Timo fresco","Tomillo fresco","Thym frais","新鮮百里香","生のタイム","Tomilho fresco","新鲜百里香",
"STR_CHEFZ_ITEM_THYME_DESC","Fresh thyme. The backbone of game dishes and sausage.","Fresh thyme. The backbone of game dishes and sausage.","Čerstvý tymián. Základ zvěřinových jídel a klobás.","Frischer Thymian. Das Rückgrat von Wildgerichten und Wurst.","Свежий тимьян. Основа блюд из дичи и колбас.","Świeży tymianek. Podstawa dań z dziczyzny i kiełbas.","Friss kakukkfű. A vadételek és kolbászok alapja.","Timo fresco. La base dei piatti di selvaggina e degli insaccati.","Tomillo fresco. La base de los platos de caza y los embutidos.","Du thym frais. La base des plats de gibier et des saucisses.","新鮮百里香。野味料理與香腸的骨幹。","生のタイム。ジビエ料理とソーセージの土台。","Tomilho fresco. A base dos pratos de caça e das linguiças.","新鲜百里香。野味料理与香肠的骨干。",
"STR_CHEFZ_ITEM_ROSEMARY","Fresh Rosemary","Fresh Rosemary","Čerstvý rozmarýn","Frischer Rosmarin","Свежий розмарин","Świeży rozmaryn","Friss rozmaring","Rosmarino fresco","Romero fresco","Romarin frais","新鮮迷迭香","生のローズマリー","Alecrim fresco","新鲜迷迭香",
"STR_CHEFZ_ITEM_ROSEMARY_DESC","Fresh rosemary. Rare and strongly aromatic.","Fresh rosemary. Rare and strongly aromatic.","Čerstvý rozmarýn. Vzácný a silně aromatický.","Frischer Rosmarin. Selten und stark im Aroma.","Свежий розмарин. Редкий и очень душистый.","Świeży rozmaryn. Rzadki i mocno aromatyczny.","Friss rozmaring. Ritka és erős illatú.","Rosmarino fresco. Raro e molto aromatico.","Romero fresco. Escaso y muy aromático.","Du romarin frais. Rare et très aromatique.","新鮮迷迭香。稀有且香氣濃烈。","生のローズマリー。希少で香りが強い。","Alecrim fresco. Raro e muito aromático.","新鲜迷迭香。稀有且香气浓烈。",
"STR_CHEFZ_ITEM_WILDGARLIC","Fresh Wild Garlic","Fresh Wild Garlic","Čerstvý medvědí česnek","Frischer Bärlauch","Свежая черемша","Świeży czosnek niedźwiedzi","Friss medvehagyma","Aglio orsino fresco","Ajo de oso fresco","Ail des ours frais","新鮮熊蔥","生のギョウジャニンニク","Alho-urso fresco","新鲜熊葱",
"STR_CHEFZ_ITEM_WILDGARLIC_DESC","Fresh wild garlic leaves. Sharp and unmistakable.","Fresh wild garlic leaves. Sharp and unmistakable.","Čerstvé listy medvědího česneku. Ostré a nezaměnitelné.","Frische Bärlauchblätter. Scharf und unverwechselbar.","Свежие листья черемши. Резкие и ни с чем не спутать.","Świeże liście czosnku niedźwiedziego. Ostre i nie do pomylenia.","Friss medvehagymalevelek. Csípősek és összetéveszthetetlenek.","Foglie fresche di aglio orsino. Pungenti e inconfondibili.","Hojas frescas de ajo de oso. Picantes e inconfundibles.","Des feuilles fraîches d'ail des ours. Piquantes et reconnaissables entre toutes.","新鮮的熊蔥葉。辛辣而獨特。","生のギョウジャニンニクの葉。刺激的で紛れもない香り。","Folhas frescas de alho-urso. Picantes e inconfundíveis.","新鲜的熊葱叶。辛辣而独特。",
"STR_CHEFZ_ITEM_PEPPERBERRIES","Pepper Berries","Pepper Berries","Bobule pepře","Pfefferbeeren","Ягоды перца","Owoce pieprzu","Borsbogyók","Bacche di pepe","Bayas de pimienta","Baies de poivre","胡椒漿果","コショウの実","Bagas de pimenta","胡椒浆果",
"STR_CHEFZ_ITEM_PEPPERBERRIES_DESC","Green pepper berries. Useless until dried.","Green pepper berries. Useless until dried.","Zelené bobule pepře. K ničemu, dokud neuschnou.","Grüne Pfefferbeeren. Erst getrocknet zu gebrauchen.","Зелёные ягоды перца. Бесполезны, пока не высохнут.","Zielone owoce pieprzu. Bezużyteczne, dopóki nie wyschną.","Zöld borsbogyók. Szárítás előtt használhatatlanok.","Bacche di pepe verdi. Inutili finché non sono essiccate.","Bayas de pimienta verdes. Inútiles hasta que se sequen.","Des baies de poivre vertes. Inutiles tant qu'elles ne sont pas séchées.","青綠的胡椒漿果。不曬乾就沒有用。","青いコショウの実。乾かすまでは使えない。","Bagas de pimenta verdes. Inúteis até secarem.","青绿的胡椒浆果。不晒干就没有用。",
"STR_CHEFZ_ITEM_ONION","Onion","Onion","Cibule","Zwiebel","Лук","Cebula","Vöröshagyma","Cipolla","Cebolla","Oignon","洋蔥","タマネギ","Cebola","洋葱",
"STR_CHEFZ_ITEM_ONION_DESC","A firm onion. Keeps well and belongs in almost every pot.","A firm onion. Keeps well and belongs in almost every pot.","Pevná cibule. Dlouho vydrží a patří skoro do každého hrnce.","Eine feste Zwiebel. Hält lange und gehört in fast jeden Topf.","Крепкая луковица. Хорошо хранится и нужна почти в каждом котелке.","Jędrna cebula. Długo się trzyma i pasuje do niemal każdego garnka.","Kemény hagyma. Sokáig eláll, és szinte minden fazékba kell.","Una cipolla soda. Si conserva a lungo e ci sta in quasi ogni pentola.","Una cebolla firme. Aguanta mucho y cabe en casi cualquier olla.","Un oignon ferme. Il se garde longtemps et va dans presque toutes les marmites.","結實的洋蔥。耐放，幾乎每一鍋都用得上。","身の締まったタマネギ。日持ちし、ほとんどの鍋に入る。","Uma cebola firme. Dura muito e cabe em quase toda panela.","结实的洋葱。耐放，几乎每一锅都用得上。",
"STR_CHEFZ_ITEM_GARLIC","Garlic","Garlic","Česnek","Knoblauch","Чеснок","Czosnek","Fokhagyma","Aglio","Ajo","Ail","大蒜","ニンニク","Alho","大蒜",
